|,|__id,|__title,|__date,|__dateObj,|__instructor,|__onedriveLink,|__section
,18,No Topic Entered,"Feb 18, 2025",18/02/25,R Gururaj,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EUBeiaUyu1RPs0ePJ34e6nIBNqWg3Km3q9u4A4CCrv6d8A?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=AD6RvU,
,19,No Topic Entered,"Feb 19, 2025",19/02/25,R Gururaj,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Edc_f6Mf9jRAuE-MUYH-ZBoBciCK83iETouFHfzphmBD2w?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=uijg4r,
,20,No Topic Entered,"Feb 20, 2025",20/02/25,R Gururaj,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EXe2Li4CJ1xKpVEZBIlsTUsBzFNEsP2tCyiTp32IEVm38w?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=JAyBYH,
,21,No Topic Entered,"Feb 25, 2025",25/02/25,R Gururaj,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EbsGDF9LOYdLmSXoXE_nPykBbLplleRAPFc0QZ3f5rSIyQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=wa9zKz,
,22,No Topic Entered,"Feb 27, 2025",27/02/25,R Gururaj,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfM9XfAOxsxCkYTKHe0I-QQBzdvQkeSe9d6F4xfyKF-2Ag?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=FPg9Iq,
,23,No Topic Entered,"Mar 11, 2025",11/03/25,R Gururaj,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ETwp98nrsrlFlqoYHDFDoSQBNAZS4j_YSt40tr6wzj9GuA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=cQtEDK,
,24,No Topic Entered,"Mar 12, 2025",12/03/25,R Gururaj,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EZgJn_8rUWlOiV8U7QTRhugBnFC0_8Sjc3whHyUwAYF5DA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=dxWlfs,
,25,No Topic Entered,"Mar 13, 2025",13/03/25,R Gururaj,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfifizdScDJGn6D8ekpmBDsBj-o6rsK0PuKuFoLtUE9Aww?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=9W5t9D,
CS F364,1,Handout & Karatsuba,"Jan 8, 2025",08/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EcWHX4McLZZMgifaLg5rYS8Bn1zo6KByeAFZypiD95LXfg,
,2,Asymptotic Analysis,"Jan 10, 2025",10/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ERpiRvX_rMZIrDd76Z79kpkBrjtXn9_ZFVRkpfG0W6ExVQ,
,3,Divide And Conquer & Merge Sort,"Jan 13, 2025",13/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EVONGCQeSjNHtKlPSiVt8akBkeU6ZynELcejy3mkt7HVKg,
,4,Recurrence Relations,"Jan 15, 2025",15/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EcGxwWuGOQtNg3glI0fAV-0BgyBJGiR1zxgJuNqDh1_gVA,
,5,Recursion Tree,"Jan 17, 2025",17/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EYYPmh9QseBGu845or0ocFAB5UrKHKSsRr8E_yBrI5Gkbw,
,6,Maximum Subarray Problem,"Jan 20, 2025",20/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EccabFq7c0FIn5I1YzahOKkBtCETqiRArM7gfLsYMTfIUg,
,7,Closest Pair Of Points,"Jan 22, 2025",22/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ed2WmqXHkppLjp7JY71XCaMBoiGBWWgIPnSuExgYzbohpw,
,8,Lower Bound Of Sorting & Quicksort,"Jan 24, 2025",24/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ee3uvu0nZrFBiYvyIj3RR5oBVihZGX9-3W6GOzhfwD1juA,
,9,Randomized Quicksort (To See),"Jan 27, 2025",27/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ERQsrT3qSK1Lmc3_FvUEFo4B2FiLieB3ND_i2R5pI1DhKg,
,10,Randomized Select,"Jan 29, 2025",29/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Eb9xBkFfBCdLkXzHxXGRMswBLh1H88pZdmEj56dRxL3LHg,
,11,Median Of Medians & Fibo & Lcs,"Jan 31, 2025",31/01/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ETduATJthnROrK58C2g_BWYBi7WV45NMYr2trKYSqX-U1Q,
,12,Undefined,"Feb 3, 2025",03/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfWBl2YxX-dKu_ANkDD587EBDJfSZEOIYqROId-ewoItew,
,13,Matrix Chain Multiplication,"Feb 5, 2025",05/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EXrky6VRqExBjXqsn_tTnE4B5aVIhMLfkOpptkDXgcsyGQ,
,14,RNA Substructure Prediction,"Feb 7, 2025",07/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EYArrCBW1TVBhzRXVJheGzcBbr23VoDdvXzawCsrE0Co4Q,
,15,Greedy Activity Selection,"Feb 10, 2025",10/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfkkMRqXMEpIoDncad4TRyEB82PccK26-fY4IYlxWOg4TA,
,16,Huffman Coding,"Feb 12, 2025",12/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ec9zG6BdPWxCilE3DbsHbFgBbygBB5bnRtoqjCHxyAGxMA,
,17,Matroid Theory,"Feb 14, 2025",14/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EU1ln_p0dSFHkaq5f_JLUb0BZWAeraM1UMk9FMULYA07pw,
,18,Greedy-Matroid Equivalence,"Feb 17, 2025",17/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Edi3neo0gkVIjsVrk7rS7bsB_kgh2EKR65rQDCU-25Hj_w,
,19,No Topic Entered,"Feb 19, 2025",19/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfkLl3aJkaZEtwS82bB4uvwB2dUglb_ZJkOkqoZAl14b8w,
,20,No Lecture,"Feb 21, 2025",21/02/25,Apurba Das,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfU-QDACD79JlFs5kdtbNmkBrIyqkM_uOA2G3MMvNCRypw,
,21,,"Feb 24, 2025",24/02/25,Apurba Das,,
,22,,"Feb 28, 2025",28/02/25,Apurba Das,,
,23,,"Mar 10, 2025",10/03/25,Apurba Das,,
,24,,"Mar 12, 2025",12/03/25,Apurba Das,,
,25,,"Mar 17, 2025",17/03/25,Apurba Das,,
ECE F343,1,No Topic Entered,"Jan 8, 2025",08/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ESVDXCPSt8ZPkhuLMbgsG-ABl09E-LGYJemtyjb6ZCqWOw,
,2,No Topic Entered,"Jan 10, 2025",10/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfMKFVEuh0BAjLaIQDedsRQBHWMKthYfCIPcD-HMQip63A,
,3,No Topic Entered,"Jan 13, 2025",13/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ed13MXyqpMxGm3pPD9QIilsBv41tkHTizQBL385-B_0I3g,
,4,No Topic Entered,"Jan 15, 2025",15/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EdiFfiQ_qrlCt8XdArdnuN0BEG0roD3kkV8BKqaCDJvLcg,
,5,No Topic Entered,"Jan 17, 2025",17/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ET6obTtpfxlNrkGr95GrI5wB8KIlfHmzEwQBzozIw68wiQ,
,6,No Topic Entered,"Jan 20, 2025",20/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EbCXhso4KD5DhJUBYxakG80BYPKte5ObVHDiFtQn5kRoDQ,
,7,Application Layer,"Jan 22, 2025",22/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EVAjKCCFWElCmppkz-ng3eMBGp7oC_m_ovNp2sZxl4Bp1w,
,8,No Topic Entered,"Jan 24, 2025",24/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ES66JqKrClBKhPV-8FEFaLsB4l1Qfex-u8_aQfsASF23eQ,
,9,HTTP_ Cookies,"Jan 27, 2025",27/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ETLTxncGIpFJpms5NJ1t0TIBgW71VUAjtFpFTbcG3pjDMQ,
,10,DNS Servers,"Jan 29, 2025",29/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ETxOhFI3SR9En4aUr2jnbFkBsO4m4SyjWfD-SSpvB5iJ9w,
,11,No Topic Entered,"Jan 31, 2025",31/01/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Efck4RsJ7OVOt3E6RGFuylkBeqzAD-mfYTAeuJhE8OGe_w,
,12,No Topic Entered,"Feb 3, 2025",03/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EVNqQ2cZidJOtZZ6Cn1a17EB5Y8iUe5NkiW5jfrEmhjnsg,
,13,No Topic Entered,"Feb 5, 2025",05/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ET43ZI0j6oxCphB5hpn30kkBvwSV9OQ8C-yuXVyp_l2yTw,
,14,No Topic Entered,"Feb 7, 2025",07/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EYpwBfL2_q5Ggpvg1khUCIUBKQmKKEQpQN4jetMW4Rwb3w,
,15,No Topic Entered,"Feb 10, 2025",10/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Efo2LOiH9klKqw5OTx0isxUB5jwCJ1Io77osbx8BkJ8YRA,
,16,No Topic Entered,"Feb 12, 2025",12/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EdvSAnCI0gJCj9pGTdGPG_cBjik60AGscErh_mAtNq3AOQ,
,17,No Topic Entered,"Feb 14, 2025",14/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfhV0D-weDRIlQ3oNRKnFFwBRLZEaI7aIvVqD0FUahRQwQ,
,18,No Topic Entered,"Feb 17, 2025",17/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EeDe8rHV-_9DklJah3sHkUsB99NTmSkhaiBGKYFxYqQh-w,
,19,No Topic Entered,"Feb 19, 2025",19/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EaP6XaUgpQdKkYst47xOtL4BNlDCmUOA3BhYTDkHDHCNKg,
,20,No Topic Entered,"Feb 21, 2025",21/02/25,Pranay Agarwal,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EV3dg-1fn0hKrjAbDmcqsdwB-0FImrjazX2G4--b_oB0NA,
,21,,"Feb 24, 2025",24/02/25,Pranay Agarwal,,
,22,,"Feb 28, 2025",28/02/25,Pranay Agarwal,,
,23,,"Mar 10, 2025",10/03/25,Pranay Agarwal,,
,24,,"Mar 12, 2025",12/03/25,Pranay Agarwal,,
,25,,"Mar 12, 2025",12/03/25,Pranay Agarwal,,
EEE F341,1,Course Introduction,"Jan 8, 2025",08/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ETESPxXAvvlIoIUKaJSBUF4B_IVi5EBIj7-2S9xXaByG6A,
,2,Basics Of IC,"Jan 10, 2025",10/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EeIPmy9L0OVAvHhVxpmeAY4BTPduW8euepyDWNWoOKV8Dg,
,3,Internal Structure Of Opamp,"Jan 13, 2025",13/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EUmMtlfsfuVGj8cq3I9Qow4BAN1-MthOh_TbuBPnEcUQXw,
,4,Ideal Opamp,"Jan 15, 2025",15/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EWvj2noFl7lOtP4WWtoBd4kBcph_lVG2j76AAqgV424xXg,
,5,Open Loop And Closed Loop Operation Of Opamp,"Jan 17, 2025",17/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EZ2aTDrxMQdMh3Rz3q90kG8BCWyqThCpXxsNjMisvTovbA,
,6,"Basci Opamp Applications_ Inverting, Noninvertinhg And Summing Amplifier","Jan 20, 2025",20/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ET77H_xatOtNhZ1x-P6A3vsBeZ60JVHX_P5pFlzaXoZnUg,
,7,Summing Amplifier And Difference Amplifier,"Jan 22, 2025",22/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EZ2PXddaLTZJjC6w495o0RIBP_7tm8hwJ6mV9NF1u4Cnhg,
,8,Transducer Bridge Amplifier And Integrtor,"Jan 24, 2025",24/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EUdrgPL4LXZJjbrmBdFxJFQB8MSnq2kV4t2VaOcvVkLRHw,
,9,Lect 9 And 10 Integrator And Differentiator,"Jan 25, 2025",25/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EUKB-OqGzV9Ep_5CWmod23wB3ZjXFuIQMgIb5KOkwUdTXA,
,10,Lecture 11 Static Opamp Limitationsdc Errors,"Jan 27, 2025",27/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EQrOuDf8r2hHlJlYRjeTkt4BHMKTWrbeyxQkMs4bFvZnPg,
,11,No Class,"Jan 29, 2025",29/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EUpebguiJvxKj39cgMV4TsQBeW6YhjcGBEnXOCMlaKCdTQ,
,12,No Class,"Jan 31, 2025",31/01/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EW-QUxMAxmFBsOE0peJPBogBkx37td2TMrVGp9Yapvj-Uw,
,13,Lect 12 Effect Of Input Offset Voltage And,"Feb 3, 2025",03/02/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ee6WzfTddNRKtMEmPddRuRkBQsm9YBldKeL8MZsFNjtWYQ,
,14,Lect 13 Slew Rate Of Opamp,"Feb 5, 2025",05/02/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ERUpajY8d1ZAm-n2YehKYfABqN-2Nu635EF2k01-RM_5UQ,
,15,Lect 14 Frequency Response And Frequency Compensation Of Opamp,"Feb 5, 2025",05/02/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EQrqQzx7pMRJvYvJGfznxXYB8WSj2bDNA_0rn_RWFvC2_A,
,16,No Class,"Feb 7, 2025",07/02/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EWEz7uJu-RNAgC1uI24OLagBPmpXlfarcVVeD7cU54i2rA,
,17,No Class,"Feb 10, 2025",10/02/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EfaRhUzFOfhLj42bgoidCf4B3uPfqmxr-XktdQVw3PJ-Ww,
,18,No Class,"Feb 12, 2025",12/02/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EbJCYHuzsxtJu6ESsEeE1QUBzK8cJX48X6QB_wn5VG0tQQ,
,19,Feedback Amplifiers,"Feb 14, 2025",14/02/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EZgQ7f00tQRAuA1tznOXRV0BFNb29OXUIFuNevzj3jKMlg,
,20,Instrumentation Amplifier,"Feb 17, 2025",17/02/25,Nawaz Masum,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ESyMBZ95XwNPsO8jIJMO-G0BHmFQ8kwROE5Qzqwl8Vjkeg,
,21,,"Feb 18, 2025",18/02/25,Nawaz Masum,,
,22,,"Feb 19, 2025",19/02/25,Nawaz Masum,,
,23,,"Feb 21, 2025",21/02/25,Nawaz Masum,,
,24,,"Feb 24, 2025",24/02/25,Nawaz Masum,,
,25,,"Feb 28, 2025",28/02/25,Nawaz Masum,,
,26,,"Mar 10, 2025",10/03/25,Nawaz Masum,,
,27,,"Mar 11, 2025",11/03/25,Nawaz Masum,,
,28,,"Mar 12, 2025",12/03/25,Nawaz Masum,,
,29,,"Mar 17, 2025",17/03/25,Nawaz Masum,,
ECE F344,1,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EbWTAFV2VxNOq7IfOyUbFysB3npJRCZiOOh2rn1KxqQuRw,
,2,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EXOJAMfOoyFBoWFwatlS3FcBm8Uz5uSWuabiBc67R8nzew,
,3,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ec6FXQU0771JjanAv9uoPiwB1k1tRu_wl1VLlhJvEUucRw,
,4,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Eb8VYD_hHPdFv4rP_ZqKUtQBtnySxca1KcnJdaSwh1INMQ,
,5,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EYePrYweetdCh57ut4ZyYhUBZbYvoOcl794fc2bxMckUKw,
,6,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EQiWKvlOuuNJsgBYbF5hXfABD0qfzMj8BrZkW9a5MMj16g,
,7,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ETObjwMEz8NJq99lAN6u1XEBFJXBOJo4cst6drhr9ZIa7w,
,8,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Eb_z0G1e73pAq8hMQhlaeHABpI1wvBs67FRCWHUwlWIsUw,
,9,No Audio,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EQJnmvp3qP9HuRH9CeKzrB8BXZQL2E0ayEMMr-5EOsSxcQ,
,10,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ETcMmw0RJAhJoyO1wIj2vEoBSveh01tvltsbN9lYabub0w,
,11,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ee5wjCzKhstLoapXU2VaFgEBKxxAkqyoJ7ZY_AMuLARRKw,
,12,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EbgRP_N-481JnFFEeRsEe-ABvRLXgGC6wEFYpACs1ejIBA,
,13,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EUH34iA9bLtFuOlYJ76nz7UBrxrgiGpI3RBeBNur_dr4Fg,
,14,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/ERsBPsoj1ZdIkCR-8yeId3cB__3j9s9YcMwSXeYs_g56oA,
,15,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EWfT_jYfTZZMrbNpuUyR7AsB5dnfN53h_RzJEGEHV55RXw,
,16,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ebn2LkgyRblAiXrsLdfDM7IBoLQjG5B6aB0CRucrGT4ysQ,
,17,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EZLASrBPaDRPsIwllbmIKhIBoLENKWm19xzelpQCsRpyPQ,
,18,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EbbfG3R1ldpFn3k8lKTxz_oBSteFiE5GEG26qNu7VmEn-g,
,19,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EcPsy2Gu1OZJuIaf9FpeixcBnYQlPIck8xXVKQR5hJAIxQ,
,20,No Topic Entered,,,Prashant Wali,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EV1ZW7Sxlx9AloFQmwfexm0BF1_J6cxfP9EQcIv2MvpXSQ,
,21,,,,Prashant Wali,,
,22,,,,Prashant Wali,,
,23,,,,Prashant Wali,,
,24,,,,Prashant Wali,,
,25,,,,Prashant Wali,,
EEE F244,1,Amplifier Introduction,"Jan 08, 2025",08/01/25,Mr. Ershad Ahmed S,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EZhwl9YdsYBLn4yagdj1xOIBVtegUgD6t7jaBsBSynyFlQ?e=llD8hx,
,2,Types of Amplifiers,"Jan 09, 2025",09/01/25,Mr. Ershad Ahmed S,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ec1FbRtFcRpJsKPWLMB3wC8BuKn_g2zQuE3iBXXviSfqJw?e=upxzJK,
